timestamp,percent_included
3620,82.8
3621,82.85555555555555
3622,82.95
3623,83.02222222222223
3624,83.05
3625,83.08333333333333
3626,83.11666666666667
3627,83.17777777777778
3628,83.22222222222221
3629,83.28888888888889
3630,83.33333333333334
3631,83.36666666666666
3632,83.42222222222222
3633,83.48333333333333
3634,83.54444444444444
3635,83.58333333333333
3636,83.65
3637,83.6888888888889
3638,83.71666666666667
3639,83.76666666666667
3640,83.79444444444445
3641,83.87777777777778
3642,83.91666666666666
3643,83.96111111111111
3644,84.01666666666667
3645,84.07777777777777
3646,84.13888888888889
3647,84.16666666666667
3648,84.2
3649,84.27222222222223
3650,84.30555555555556
3651,84.36111111111111
3652,84.39999999999999
3653,84.44444444444444
3654,84.51111111111112
3655,84.57777777777777
3656,84.65
3657,84.69444444444446
3658,84.71111111111111
3659,84.76666666666667
3660,84.82222222222222
3661,84.86666666666667
3662,84.94444444444444
3663,84.99444444444444
3664,85.02777777777779
3665,85.07222222222222
3666,85.14444444444445
3667,85.17777777777778
3668,85.24444444444444
3669,85.27777777777777
3670,85.34444444444445
3671,85.39444444444445
3672,85.42222222222222
3673,85.45555555555555
3674,85.50555555555556
3675,85.58333333333333
3676,85.61666666666666
3677,85.66666666666667
3678,85.73888888888888
3679,85.7611111111111
3680,85.82777777777778
3681,85.87222222222223
3682,85.90555555555555
3683,85.96111111111111
3684,86.01111111111112
3685,86.07222222222222
3686,86.09444444444443
3687,86.15555555555555
3688,86.20555555555556
3689,86.28888888888889
3690,86.36666666666667
3691,86.37222222222222
3692,86.42222222222222
3693,86.46666666666667
3694,86.51111111111112
3695,86.57777777777778
3696,86.65
3697,86.6888888888889
3698,86.72777777777779
3699,86.76666666666667
3700,86.83333333333333
3701,86.87777777777778
3702,86.92777777777778
3703,86.99444444444444
3704,87.04444444444445
3705,87.06666666666666
3706,87.13333333333333
3707,87.15555555555555
3708,87.22777777777779
3709,87.27777777777777
3710,87.32777777777778
3711,87.37777777777778
3712,87.42777777777778
3713,87.48333333333333
3714,87.51666666666667
3715,87.56111111111112
3716,87.6111111111111
3717,87.65555555555555
3718,87.71666666666667
3719,87.76666666666667
3720,87.82222222222222
3721,87.86111111111111
3722,87.93888888888888
3723,88.0111111111111
3724,88.05555555555556
3725,88.07222222222222
3726,88.12222222222222
3727,88.17777777777778
3728,88.21666666666667
3729,88.30555555555556
3730,88.36111111111111
3731,88.38888888888889
3732,88.42777777777778
3733,88.48888888888888
3734,88.53333333333333
3735,88.58888888888889
3736,88.62777777777778
3737,88.67777777777778
3738,88.7388888888889
3739,88.77222222222223
3740,88.8111111111111
3741,88.85555555555555
3742,88.93888888888888
3743,88.96666666666667
3744,89.02222222222223
3745,89.09444444444445
3746,89.12222222222222
3747,89.18888888888888
3748,89.23333333333333
3749,89.25555555555556
3750,89.31666666666666
3751,89.36666666666667
3752,89.43333333333334
3753,89.45555555555555
3754,89.5111111111111
3755,89.57222222222222
3756,89.64999999999999
3757,89.72222222222223
3758,89.73333333333333
3759,89.76666666666667
3760,89.81666666666666
3761,89.86111111111111
3762,89.91111111111111
3763,90.00555555555556
3764,90.03888888888889
3765,90.08333333333334
3766,90.13333333333333
3767,90.19444444444444
3768,90.2388888888889
3769,90.28888888888889
3770,90.32222222222222
3771,90.38888888888889
3772,90.42222222222223
3773,90.48888888888888
3774,90.5111111111111
3775,90.57777777777778
3776,90.63333333333333
3777,90.68888888888888
3778,90.73333333333333
3779,90.78888888888889
3780,90.84444444444445
3781,90.86666666666666
3782,90.91111111111111
3783,90.96111111111111
3784,91.0111111111111
3785,91.05555555555556
3786,91.11666666666667
3787,91.17222222222222
3788,91.22222222222223
3789,91.3
3790,91.36111111111111
3791,91.41111111111111
3792,91.42222222222223
3793,91.49444444444444
3794,91.53333333333333
3795,91.56666666666666
3796,91.64999999999999
3797,91.70555555555555
3798,91.7388888888889
3799,91.78888888888889
3800,91.85
3801,91.88888888888889
3802,91.93333333333334
3803,91.97222222222223
3804,92.03333333333333
3805,92.08333333333333
3806,92.11666666666667
3807,92.16111111111111
3808,92.20555555555555
3809,92.29444444444445
3810,92.32222222222222
3811,92.37777777777778
3812,92.44444444444444
3813,92.47777777777777
3814,92.54444444444444
3815,92.58333333333333
3816,92.61111111111111
3817,92.66111111111111
3818,92.7
3819,92.78333333333333
3820,92.81666666666666
3821,92.87222222222222
3822,92.91666666666667
3823,93.0111111111111
3824,93.06666666666666
3825,93.08888888888889
3826,93.12222222222222
3827,93.17777777777778
3828,93.21111111111111
3829,93.2611111111111
3830,93.3611111111111
3831,93.38888888888889
3832,93.44444444444444
3833,93.5
3834,93.55
3835,93.57222222222222
3836,93.6388888888889
3837,93.68888888888888
3838,93.7388888888889
3839,93.78333333333333
3840,93.85
3841,93.86666666666666
3842,93.93333333333334
3843,93.99444444444444
3844,94.05
3845,94.07777777777778
3846,94.13333333333334
3847,94.18888888888888
3848,94.21666666666667
3849,94.2611111111111
3850,94.31111111111112
3851,94.36666666666666
3852,94.40555555555555
3853,94.47222222222223
3854,94.51666666666667
3855,94.5611111111111
3856,94.63888888888889
3857,94.69999999999999
3858,94.7611111111111
3859,94.77222222222223
3860,94.83888888888889
3861,94.88888888888889
3862,94.91111111111111
3863,94.98333333333333
3864,95.05555555555556
3865,95.08333333333333
3866,95.13888888888889
3867,95.20555555555555
3868,95.24444444444444
3869,95.27777777777777
3870,95.31666666666668
3871,95.38888888888889
3872,95.42777777777778
3873,95.47777777777777
3874,95.52222222222223
3875,95.56666666666666
3876,95.65
3877,95.69444444444444
3878,95.73888888888888
3879,95.79444444444445
3880,95.83333333333334
3881,95.90555555555555
3882,95.92777777777778
3883,95.96111111111111
3884,96.0
3885,96.05555555555556
3886,96.12777777777778
3887,96.16666666666667
3888,96.21111111111111
3889,96.25555555555556
3890,96.34444444444445
3891,96.41111111111111
